"uuid","age_range","education_fields","education_level","employment","employment_fields","italian_knowledge"
"558c51e9-82af-4553-bb22-132a1eb856f9","25-34","HEALTH","MASTER","OTHER","HEALTH","M"
"57efdcd6-45db-46a6-a5a9-2979bb5e9463","55-64","OTHER","HIGH","EMPLOYEE","EDUCATION","M"
"58f2b33a-1e18-4e37-99a9-48f65194b98a","18-24","HUMANISTIC","NO","STUDENT","OTHER","B1"
"5b3e26fa-eae2-4935-913e-11aad2b282ca","45-54","OTHER","HIGH","EMPLOYEE","EDUCATION","M"
"5be146cc-9f31-4504-a440-14e172e4f062","18-24","HUMANISTIC","BACHELOR","STUDENT","EDUCATION","B1"
"5fabd4cf-ad21-4b19-9176-ac33e600aa6e","55-64","EDUCATION","HIGH","EMPLOYEE","EDUCATION","M"
"617d9020-ad77-4361-ad22-c609a3f62fab","45-54","OTHER","HIGH","EMPLOYEE","EDUCATION","M"
"62dc7caa-b574-4c9f-90c2-b4e42c0c3e0f","45-54","JURIDICAL","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"6556d05c-3803-410d-a3e4-b38fe8f88687","35-44","ENGINEERING","MASTER","EMPLOYEE","IT","M"
"6655aedd-2062-4008-9d86-e9ae24a402ec","45-54","HUMANISTIC","MASTER","EMPLOYEE","OTHER","M"
"67a23088-3bfa-457b-9c60-7720c307bdeb","18-24","JURIDICAL","OTHER","OTHER","SALES","C1"
"6a86fd19-902c-4314-97ff-dfd3ecb37f4e","18-24","ARTISTIC","HIGH","STUDENT","ARTISTIC","B2"
"6c3f0d9b-9073-4b37-b09e-90d19ed2371b","18-24","HUMANISTIC","HIGH","STUDENT","OTHER","B1"
"6c48b128-5bf7-4c9d-8d49-d3053d5d3694","55-64","SCIENTIFIC","MASTER","EMPLOYEE","EDUCATION","M"
"6d735cf4-d75a-440a-9f50-3910f698f890","18-24","HUMANISTIC","HIGH","STUDENT","OTHER","M"
"6dc486ce-44e3-449c-b339-8505da6fefab","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"6e30f1d0-deac-4e01-a227-ff0b3dd2b4ed","18-24","HUMANISTIC | OTHER","BACHELOR","STUDENT","OTHER","B1"
"6f5d6ded-4453-46fe-b67e-04d728904346","55-64","JURIDICAL","MASTER","EMPLOYEE","ADMINISTRATIVE","M"
"70053593-8a0b-4def-b6a6-436184803d8b","35-44","HUMANISTIC","PHD","EMPLOYEE","EDUCATION","M"
"70ad2980-7df3-491a-b3fd-19e1d415f784","18-24","HEALTH","HIGH","STUDENT","OTHER","A2"
"718780fd-f58f-4a8d-a008-3e5978e28bbe","18-24","HUMANISTIC","HIGH","STUDENT","OTHER","B1"
"728ece5f-2980-4cf0-b8b0-55d87ddedf27","35-44","ENGINEERING","MASTER","EMPLOYEE","IT","M"
"72e35c8b-1517-480f-9fa9-5b4c35588bad","25-34","ENGINEERING","MASTER","STUDENT","HEALTH | IT","M"
"7434d294-58b8-4085-bf95-9426b0f4de35","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"7496d6b4-fe4e-4835-96d4-85c64c93f511","18-24","ARTISTIC | OTHER","BACHELOR","STUDENT","OTHER","B1"
"774919be-0ad0-4a8f-bf82-c409cc7c843c","18-24","OTHER","HIGH","STUDENT","EDUCATION","B2"
"7b49c299-4429-4697-83a3-489ebfd65283","45-54","OTHER","HIGH","EMPLOYEE","IT","M"
"7bb66474-3825-4e53-a9e7-038c38b6a09f","18-24","OTHER","HIGH","STUDENT","ARTISTIC | OTHER","B1"
"7d41c8ad-77c7-4fe4-8acf-25c7e4b9efec","18-24","OTHER","HIGH","STUDENT","EDUCATION | ARTISTIC","B2"
"7ec62f37-80c0-4fa9-b7b9-1a08f9ad48c9","35-44","OTHER","HIGH","EMPLOYEE","HEALTH","A2"
"80024a7d-13f2-474d-85de-24bc19095f36","45-54","JURIDICAL","BACHELOR","EMPLOYEE","EDUCATION","M"
"80981cf7-a267-4f8f-9953-f8eb301deee1","55-64","HUMANISTIC | EDUCATION","MASTER","EMPLOYEE","EDUCATION","B2"
"81a7e4f0-a409-4ce5-93d1-58014d9095da","55-64","HUMANISTIC","HIGH","OTHER","EDUCATION","M"
"81f81fc7-4097-4d3f-8024-4296566fba5c","45-54","HUMANISTIC","MASTER","EMPLOYEE","OTHER","M"
"83bac86a-edd5-48b4-9cfd-2ea9de8e9547","18-24","JURIDICAL","BACHELOR","STUDENT","OTHER","B1"
"85e63e16-0398-4c4f-acd5-f05fa934f1c5","18-24","ARTISTIC","BACHELOR","STUDENT","EDUCATION | HEALTH | ARTISTIC","M"
"895f683a-499d-4ccd-93c8-f36aca2aa160","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"8a055016-baa6-4246-9109-3cbd021e74c5","55-64","EDUCATION","HIGH","EMPLOYEE","EDUCATION","M"
"8cde2d5b-10f9-4b56-96ae-dbe1579ac61c","55-64","OTHER","MASTER","OTHER","OTHER","M"
"8d52e1d2-0acb-4e3a-8738-a8311469a75a","55-64","SCIENTIFIC","MASTER","EMPLOYEE","EDUCATION","M"
"8e941ff3-d20a-4532-b899-97288a4db5ed","25-34","ENGINEERING","MASTER","EMPLOYEE","IT","M"
"8fec1d64-71b2-4638-8733-d6892d6d8037","25-34","EDUCATION","HIGH","STUDENT","SALES","B1"
"8ff8e8b6-55fc-4717-868c-e8666380ea6b","65+","SCIENTIFIC","MASTER","RETIRED","EDUCATION","M"
"922e52f0-6e11-4303-846e-7dbd67f3989e","18-24","OTHER","HIGH","STUDENT","OTHER","B1"
"94ffc5f9-821f-4abf-a1a5-90321bf57a04","25-34","HUMANISTIC","MASTER","OTHER","EDUCATION","M"
"9920ba40-7649-4802-a65d-aef6137d728f","35-44","OTHER","BACHELOR","EMPLOYEE","OTHER","B1"
