id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge,exclusion_reason
S21,FOREIGNER,B,2194,1,873.826,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4,False,0,155.295,1.0,1.0,4.0,4.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC,BACHELOR,STUDENT,OTHER,B1,
S22,FOREIGNER,C,1316,1,22.631,5.0,1.0,5.0,5.0,1.0,1.0,4.0,3,True,3,473.726,1.0,4.0,1.0,3.0,1.0,5.0,4.0,3,True,1,18-24,OTHER,BACHELOR,STUDENT,OTHER,B2,LOW READING TIME
S23,FOREIGNER,A,1284,1,890.507,2.0,1.0,1.0,4.0,1.0,1.0,4.0,4,False,0,6.209,2.0,4.0,1.0,3.0,1.0,4.0,4.0,2,False,0,18-24,OTHER,HIGH,STUDENT,EDUCATION | ARTISTIC,B2,LOW READING TIME
S24,FOREIGNER,C,2129,1,190.267,1.0,4.0,3.0,3.0,1.0,1.0,4.0,3,False,0,1046.339,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2,
S25,FOREIGNER,B,1535,2,311.255,1.0,3.0,1.0,4.0,2.0,1.0,3.0,3,False,0,492.033,1.0,1.0,3.0,3.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC,LOW,STUDENT,OTHER,B1,
S26,FOREIGNER,D,932,1,324.376,1.0,5.0,1.0,1.0,5.0,5.0,3.0,3,True,3,97.632,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,18-24,OTHER,HIGH,STUDENT,OTHER,B1,BOTH CONTROL QUESTION
S27,FOREIGNER,C,910,1,469.083,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2,False,0,236.124,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3,False,0,18-24,JURIDICAL | OTHER,HIGH,STUDENT,OTHER,B1,
S28,FOREIGNER,D,1841,3,404.744,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4,False,0,1973.934,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,18-24,OTHER,BACHELOR,STUDENT,OTHER,B1,
S29,FOREIGNER,C,963,2,2.845,2.0,1.0,5.0,2.0,1.0,4.0,3.0,2,True,1,81.026,5.0,2.0,4.0,5.0,1.0,3.0,3.0,1,True,2,25-34,EDUCATION,HIGH,STUDENT,SALES,B1,LOW READING TIME
S3,FOREIGNER,C,3701,1,1467.099,1.0,2.0,4.0,5.0,1.0,3.0,5.0,2,True,1,1284.215,1.0,4.0,1.0,3.0,1.0,2.0,5.0,3,False,0,18-24,HUMANISTIC,HIGH,STUDENT,OTHER,B1,
S30,FOREIGNER,D,2370,1,1747.085,3.0,2.0,3.0,4.0,4.0,5.0,5.0,0,True,1,107.734,4.0,5.0,5.0,3.0,5.0,3.0,4.0,0,True,3,18-24,JURIDICAL,HIGH,STUDENT,SALES,B1,BOTH CONTROL QUESTION
S31,FOREIGNER,A,-9223372037,2,51.424,2.0,,,,,,,0,False,0,0.0,,,,,,,,0,False,0,25-34,JURIDICAL,BACHELOR,EMPLOYEE,ADMINISTRATIVE,B2,NOT TERMINATED
S32,FOREIGNER,C,1018,1,103.967,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1,True,5,460.357,2.0,5.0,5.0,5.0,1.0,1.0,5.0,2,True,3,18-24,HUMANISTIC,BACHELOR,STUDENT,EDUCATION,B2,MANUALLY
S33,FOREIGNER,B,1279,1,546.215,1.0,3.0,2.0,1.0,2.0,1.0,5.0,3,False,0,269.404,1.0,3.0,4.0,4.0,1.0,4.0,5.0,2,False,0,18-24,ARTISTIC,HIGH,STUDENT,ARTISTIC,B2,
