"id","event","timestamp","participant"
"100","d2 | visible | text","1719431210704","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"101","d2 | hover | text","1719431243210","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"102","d2 | visible | text","1719431239378","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"103","d2 | invisible | q3","1719431247644","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"104","d2 | visible | q3","1719431216663","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"105","d2 | visible | q3","1719431253446","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"106","d2 | leave | text","1719431237409","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"107","d2 | visible | q6","1719431237577","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"108","d1 | leave | text","1719431273339","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"109","d1 | hover | text","1719431247655","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"110","d1 | leave | text","1719431252505","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"111","d1 | visible | q2","1719431273341","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"112","d1 | hover | text","1719431242205","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"113","d1 | invisible | text","1719431273389","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"114","d1 | leave | text","1719431272754","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"115","d1 | leave | text","1719431247606","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"116","d1 | hover | text","1719431252791","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"117","d1 | leave | text","1719431270871","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"118","d1 | hover | text","1719431272921","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"119","d1 | invisible | q2","1719431274190","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"120","d1 | invisible | q1","1719431274239","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"121","d1 | visible | q1","1719431273255","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"122","d1 | visible | q3","1719431273372","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"123","d1 | visible | text","1719431274106","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"124","d1 | hover | text","1719431270788","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"125","d1 | hover | text","1719431272653","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"126","d1 | invisible | q3","1719431274139","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"127","d1 | leave | text","1719431270621","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"128","d2 | invisible | q2","1719431227986","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"129","d2 | visible | q2","1719431231799","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"130","d2 | hover | text","1719431246141","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"131","d2 | visible | q4","1719431230483","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"132","d2 | visible | q1","1719431229750","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"133","d2 | hover | text","1719431228199","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"134","d2 | visible | q1","1719431231834","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"135","d2 | leave | text","1719431247308","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"136","d2 | visible | text","1719431231875","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"137","d2 | visible | q3","1719431231784","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"138","d2 | invisible | q1","1719431227985","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"139","d2 | visible | q5","1719431230582","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"140","survey | load","1719431227966","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"141","d2 | invisible | q2","1719431231927","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"142","d2 | hover | text","1719431268441","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"143","d2 | visible | q2","1719431230359","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"144","d2 | leave | text","1719431249297","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"145","d2 | invisible | q3","1719431227986","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"146","d2 | invisible | q1","1719431231975","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"147","d2 | hover | text","1719431232174","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"148","d2 | invisible | text","1719431230433","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"149","d2 | invisible | q4","1719431227986","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"150","d2 | invisible | q4","1719431231849","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"151","d2 | invisible | q3","1719431231894","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"152","d2 | leave | text","1719431246136","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"153","d2 | visible | q6","1719431231133","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"154","d2 | invisible | q5","1719431231816","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"155","d2 | invisible | q6","1719431231784","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"156","d2 | hover | text","1719431267710","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"157","d2 | invisible | q6","1719431227985","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"158","d2 | invisible | q1","1719431230525","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"159","d2 | invisible | q3","1719431231142","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"160","d2 | hover | text","1719431250525","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"161","d2 | visible | text","1719431227985","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"162","d2 | hover | text","1719431249292","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"163","d2 | leave | text","1719431230610","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"164","d2 | invisible | q5","1719431227985","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"165","d2 | invisible | q2","1719431231105","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"166","d2 | visible | q3","1719431230416","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"167","d2 | leave | text","1719431268041","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"168","d2 | leave | text","1719431250525","cGlsb3RfcGFydGVjaXBhbnRlXzI="
